Tienda,ID,Producto,Precio,imgUrl
Superama,51,jamón serrano cumbres mayores  100 g,40.00,http://www.superama.com.mx/Content/images/products/img_large/0750300473602L.jpg
Superama,52,jamón serrano del duero por kg,464.00,http://www.superama.com.mx/Content/images/products/img_large/0020572700000L.jpg
Superama,53,jamón serrano parma  100 g,74.00,http://www.superama.com.mx/Content/images/products/img_large/0750151849135L.jpg
Superama,54,jamón serrano parma  por kg,490.00,http://www.superama.com.mx/Content/images/products/img_large/0020564100000L.jpg
Superama,55,jamón serrano peñaranda  por kg,560.00,http://www.superama.com.mx/Content/images/products/img_large/0020378800000L.jpg
Superama,56,jamón serrano riojano  loncheado 100 g,72.00,http://www.superama.com.mx/Content/images/products/img_large/0750142830110L.jpg
Superama,57,jamón serrano riojano  por kg,576.00,http://www.superama.com.mx/Content/images/products/img_large/0020576200000L.jpg
Superama,58,jamón york bonnacarne mini 800 g,128.00,http://www.superama.com.mx/Content/images/products/img_large/0750222999506L.jpg
Superama,59,chapata jamón serrano pza,35.00,http://www.superama.com.mx/Content/images/products/img_large/0020073300000L.jpg
Superama,60,marinitas   jamón y queso pieza,10.50,http://www.superama.com.mx/Content/images/products/img_large/0020059700000L.jpg
Superama,61,prosciutto peñaranda  por kg,584.00,http://www.superama.com.mx/Content/images/products/img_large/0020526200000L.jpg
Superama,62,sincronizada de queso con jamón,15.00,http://www.superama.com.mx/Content/images/products/img_large/0020921300000L.jpg
Superama,63,telelritas jamón con queso pza,10.50,http://www.superama.com.mx/Content/images/products/img_large/0020061400000L.jpg
Superama,64,jamón artesanal bellota  cortado a mano 100 g,439.00,http://www.superama.com.mx/Content/images/products/img_large/0842039152845L.jpg
Superama,65,jamón de ibérico cinco jotas  bellota  80 g,546.00,http://www.superama.com.mx/Content/images/products/img_large/0841046800137L.jpg
Superama,66,jamón de pavo capistrano  vita deli virginia por kg,108.00,http://www.superama.com.mx/Content/images/products/img_large/0020365700000L.jpg
Superama,67,jamón de pavo parma campestre virginia 250 g,34.00,http://www.superama.com.mx/Content/images/products/img_large/0750151849359L.jpg
Superama,68,jamón de pavo parma sabori virginia bajo en grasa 250 g,36.90,http://www.superama.com.mx/Content/images/products/img_large/0750151849252L.jpg
Superama,69,jamón de pavo san rafael delicatessen 300 g,55.50,http://www.superama.com.mx/Content/images/products/img_large/0750104000030L.jpg
Superama,70,jamón de pavo san rafael delicatessen fino por kg,714.00,http://www.superama.com.mx/Content/images/products/img_large/0000007501383L.jpg
Superama,71,jamón de pavo y cerdo capistrano  americano clásico por kg,140.00,http://www.superama.com.mx/Content/images/products/img_large/0020353900000L.jpg
Superama,72,jamón de pavo y cerdo zwan  premium virginia por kg,88.00,http://www.superama.com.mx/Content/images/products/img_large/0020516100000L.jpg
Superama,73,jamón de pavo zwan premium virginia 250 g,31.90,http://www.superama.com.mx/Content/images/products/img_large/0750105771015L.jpg
Superama,74,jamón de pechuga de pavo bonnacarne mini 800 g,128.00,http://www.superama.com.mx/Content/images/products/img_large/0750222999509L.jpg
Superama,75,jamón de pierna parma gran reserva horneado por kg,282.00,http://www.superama.com.mx/Content/images/products/img_large/0020519500000L.jpg
Superama,76,jamón de pierna san rafael  real 300 g,55.50,http://www.superama.com.mx/Content/images/products/img_large/0750104000489L.jpg
Superama,77,jamón de pierna san rafael balance 250 g,62.00,http://www.superama.com.mx/Content/images/products/img_large/0750104000323L.jpg
Superama,78,jamón de pierna san rafael bernina americano por kg,286.00,http://www.superama.com.mx/Content/images/products/img_large/0020386500000L.jpg
Superama,79,jamón de pierna san rafael bernina estilo holandés 300 g,92.50,http://www.superama.com.mx/Content/images/products/img_large/0750170373042L.jpg
Superama,80,jamón de pierna san rafael bernina estilo holandés por kg,284.00,http://www.superama.com.mx/Content/images/products/img_large/0020523000000L.jpg
Superama,81,jamón de pierna san rafael bernina york 250 g,82.50,http://www.superama.com.mx/Content/images/products/img_large/0750104007676L.jpg
Superama,82,jamón de pierna san rafael bernina york por kg,272.00,http://www.superama.com.mx/Content/images/products/img_large/0750104007668L.jpg
Superama,83,jamón de pierna san rafael bernina york por kg,272.00,http://www.superama.com.mx/Content/images/products/img_large/0020357300000L.jpg
Superama,84,jamón de pierna zwan premium rebanadas finas 250 g,46.00,http://www.superama.com.mx/Content/images/products/img_large/0750105771050L.jpg
Superama,85,jamón ibérico bellótero  premium artesanal 100 g,455.00,http://www.superama.com.mx/Content/images/products/img_large/0842535898745L.jpg
Superama,86,jamón ibérico extra special  rebanado 100 g,119.00,http://www.superama.com.mx/Content/images/products/img_large/0750179164088L.jpg
Superama,87,jamón oscar mayer  cocido ahumado 340 g,97.00,http://www.superama.com.mx/Content/images/products/img_large/0004470006632L.jpg
Superama,88,jamón paleta de jabugo bellota bellótero  pata negra artesanal 100 g,360.00,http://www.superama.com.mx/Content/images/products/img_large/0842535898897L.jpg
Superama,89,jamón serrano bellótero  curado artesano 150 g,249.00,http://www.superama.com.mx/Content/images/products/img_large/0841097305749L.jpg
Superama,90,jamón serrano cumbres mayores  en cuadritos 200 g,40.00,http://www.superama.com.mx/Content/images/products/img_large/0750300473608L.jpg
Superama,91,jamón serrano cumbres mayores  reserva 100 g,62.00,http://www.superama.com.mx/Content/images/products/img_large/0750300473616L.jpg
Superama,92,jamón serrano extra special  de cerdo de raza duroc 3 pzas,149.00,http://www.superama.com.mx/Content/images/products/img_large/0750179163626L.jpg
Superama,93,jamón serrano parma  español premium 120 g,97.00,http://www.superama.com.mx/Content/images/products/img_large/0750151849136L.jpg
Superama,94,jamón serrano real ibérico  español 100 g,39.00,http://www.superama.com.mx/Content/images/products/img_large/0842151124586L.jpg
Superama,95,jamón serrano redondo iglesias añejo selección 100 g,67.50,http://www.superama.com.mx/Content/images/products/img_large/0842791900000L.jpg
Superama,96,jamón serrano san rafael tangamanga gran reserva de españa 100 g,72.00,http://www.superama.com.mx/Content/images/products/img_large/0750104005196L.jpg
Superama,97,jamón serrano san rafael tangamanga sin cuero por kg,580.00,http://www.superama.com.mx/Content/images/products/img_large/0020551000000L.jpg
Superama,98,rollo de queso con jamón serrano san jacinto  340 g,96.00,http://www.superama.com.mx/Content/images/products/img_large/0750300589816L.jpg
Superama,99,"trío español argal  jamón serrano, chorizo pamplona y salchichón 150 g",87.00,http://www.superama.com.mx/Content/images/products/img_large/0841076401401L.jpg
Superama,100,charola parma  de jamón serrano  150 g,97.00,http://www.superama.com.mx/Content/images/products/img_large/0750151849165L.jpg
Superama,101,jamón de pavo sabori  virginia por kg,100.00,http://www.superama.com.mx/Content/images/products/img_large/0020562300000L.jpg
Superama,102,jamón martiko curado de pato 100 g,249.00,http://www.superama.com.mx/Content/images/products/img_large/0841254000608L.jpg
Superama,103,paleta ibérica jabugo  100 g,199.00,http://www.superama.com.mx/Content/images/products/img_large/0843521333205L.jpg
Superama,104,prosciutto daniele  100 g,94.00,http://www.superama.com.mx/Content/images/products/img_large/0073643685115L.jpg
Superama,105,selección de carnes real ibérico 200 g,73.00,http://www.superama.com.mx/Content/images/products/img_large/0842151100100L.jpg
Superama,106,submarino con jamón pza,35.00,http://www.superama.com.mx/Content/images/products/img_large/0020962100000L.jpg
Superama,107,aceitunas serpis sabores rellenas de jamón serrano 300 g,38.00,http://www.superama.com.mx/Content/images/products/img_large/0841034490008L.jpg
Superama,108,aceitunas verdes jolca  rellenas de jamón serrano 300 g,27.00,http://www.superama.com.mx/Content/images/products/img_large/0841066702017L.jpg
Superama,109,lonchado de paleta de cerdo cinco jotas  pata negra 80 g,359.00,http://www.superama.com.mx/Content/images/products/img_large/0841046800316L.jpg
